# Only healpixels with non-zero completeness are recorded.
# nside=128, nest=False
healpix_number,completeness
2304,1.0
2313,1.0
2314,1.0
2315,1.0
2317,1.0
2318,1.0
2319,1.0
2390,0.007199999876320362
2391,0.007199999876320362
2392,0.007199999876320362
2393,0.007199999876320362
2394,0.007199999876320362
2397,0.13220000267028809
2410,1.0
2411,1.0
2412,1.0
2419,1.0
2420,1.0
2421,1.0
2422,1.0
2423,1.0
2425,0.8586000204086304
2426,0.8586000204086304
2429,0.382999986410141
2430,0.382999986410141
2431,0.382999986410141
2432,0.382999986410141
2433,0.382999986410141
2435,0.5407000184059143
2436,0.5407000184059143
2437,0.5407000184059143
2438,0.5407000184059143
2441,1.0
2442,1.0
2454,1.0
2455,1.0
2456,1.0
2457,1.0
2458,1.0
2530,0.007199999876320362
2531,0.007199999876320362
2532,0.007199999876320362
2533,0.007199999876320362
2534,0.007199999876320362
2536,0.13220000267028809
2537,0.13220000267028809
2538,0.13220000267028809
2539,0.13220000267028809
2551,1.0
2552,1.0
2553,1.0
2554,1.0
2557,0.5339000225067139
2558,0.5339000225067139
2560,1.0
2561,1.0
2562,1.0
2563,1.0
2564,1.0
2566,0.8586000204086304
2567,0.8586000204086304
2568,0.8586000204086304
2570,0.382999986410141
2571,0.382999986410141
2572,0.382999986410141
2573,0.382999986410141
2574,0.382999986410141
2575,0.382999986410141
2576,0.5407000184059143
2577,0.5407000184059143
2578,0.5407000184059143
2579,0.5407000184059143
2580,0.5407000184059143
2582,1.0
2583,1.0
2584,1.0
2585,1.0
2596,1.0
2597,1.0
2598,1.0
2599,1.0
2600,1.0
2601,1.0
2674,0.007199999876320362
2675,0.007199999876320362
2676,0.007199999876320362
2677,0.007199999876320362
2678,0.007199999876320362
2679,0.007199999876320362
2680,0.13220000267028809
2681,0.13220000267028809
2682,0.13220000267028809
2683,0.13220000267028809
2684,0.13220000267028809
2695,1.0
2696,1.0
2697,1.0
2698,1.0
2699,1.0
2701,0.5339000225067139
2702,0.5339000225067139
2703,0.5339000225067139
2704,0.5339000225067139
2706,1.0
2707,1.0
2708,1.0
2709,1.0
2710,0.8586000204086304
2711,0.8586000204086304
2712,0.8586000204086304
2713,0.8586000204086304
2714,0.8586000204086304
2716,0.382999986410141
2717,0.382999986410141
2718,0.382999986410141
2719,0.382999986410141
2720,0.382999986410141
2721,0.5407000184059143
2722,0.5407000184059143
2723,0.5407000184059143
2724,0.5407000184059143
2725,0.5407000184059143
2726,0.5407000184059143
2727,1.0
2728,1.0
2729,1.0
2730,1.0
2731,1.0
2742,1.0
2743,1.0
2744,1.0
2745,1.0
2746,1.0
2747,1.0
2822,0.007199999876320362
2823,0.007199999876320362
2824,0.007199999876320362
2825,0.007199999876320362
2826,0.007199999876320362
2827,0.007199999876320362
2828,0.13220000267028809
2829,0.13220000267028809
2830,0.13220000267028809
2831,0.13220000267028809
2832,0.13220000267028809
2833,0.13220000267028809
2844,1.0
2845,1.0
2846,1.0
2847,1.0
2848,1.0
2850,0.5339000225067139
2851,0.5339000225067139
2852,0.5339000225067139
2853,0.5339000225067139
2854,0.5339000225067139
2856,1.0
2857,1.0
2859,0.8586000204086304
2860,0.8586000204086304
2861,0.8586000204086304
2862,0.8586000204086304
2863,0.8586000204086304
2864,0.8586000204086304
2865,0.382999986410141
2866,0.382999986410141
2867,0.382999986410141
2868,0.382999986410141
2869,0.382999986410141
2870,0.382999986410141
2871,0.5407000184059143
2872,0.5407000184059143
2873,0.5407000184059143
2874,0.5407000184059143
2875,0.5407000184059143
2876,0.5407000184059143
2877,1.0
2878,1.0
2879,1.0
2880,1.0
2881,1.0
2893,1.0
2894,1.0
2895,1.0
2896,1.0
2897,1.0
2975,0.007199999876320362
2976,0.007199999876320362
2977,0.007199999876320362
2978,0.007199999876320362
2979,0.007199999876320362
2981,0.13220000267028809
2982,0.13220000267028809
2983,0.13220000267028809
2984,0.13220000267028809
2985,0.13220000267028809
2997,1.0
